Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
OTU255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
OTU256	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	0
OTU257	185	3	0	8	15	2	13	9	0	2	0	4	0	5	0	2	20	0	0	23	41	0	41	1	6	0
OTU258	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU259	0	3	0	7	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0
OTU26	2	3	0	23	0	4686	9	5	45	0	40	1	117	0	23	0	0	0	0	4	3	2420	32	0	2	88
OTU260	12	0	13	0	0	4	5	0	0	7	0	0	0	0	0	3	3	0	6	0	0	4	0	0	0	0
OTU261	0	1	0	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0
OTU262	0	2	0	1	94	0	3	0	0	0	4	0	0	0	0	0	0	1	1	1	199	0	0	0	0	0
OTU263	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
OTU264	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0
OTU265	0	0	0	0	0	0	0	0	0	0	0	1	1	20	0	1	0	1	0	0	10	0	0	4	0	2
OTU266	6	1	0	3	20	33	4	3	0	0	0	0	0	0	0	0	0	1	2	1	35	14	28	0	0	0
OTU267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
OTU268	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
OTU269	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	6	1	2	0	17	5	709	0	2	0	1	0	0	0	0	0	4	0	0	0	80	1	1634	3	1	0
OTU270	0	17	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU271	0	15	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
OTU272	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU273	0	15	0	16	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0
OTU274	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
OTU275	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	36	0	0	0
OTU276	0	27	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0
OTU277	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	8	0
OTU278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	0	0	0	0
OTU279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
OTU28	70	262	0	0	1245	0	0	0	0	0	0	12	0	0	0	0	99	42	0	0	681	0	0	0	25	0
OTU280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
OTU281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
OTU282	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
OTU283	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
OTU284	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	2
OTU285	2	1	3	1	0	4	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	13	1	0	0
OTU286	0	4	6	1	6	4	5	0	0	0	3	0	0	0	0	0	0	12	2	0	0	2	8	0	0	0
OTU287	4	4	0	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	7	0	0	0	0
OTU288	0	0	1	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	8	0	0	0	0
OTU289	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
OTU29	14	67	3	1	137	198	5	0	0	0	0	0	0	0	0	0	1	1	0	0	813	46	24	1	0	0
OTU290	18	9	4	4	5	17	24	0	0	0	2	0	0	0	0	0	1	8	2	1	15	6	38	0	0	0
OTU291	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
OTU292	27	21	18	174	53	26	27	0	4020	2247	0	0	1	0	3382	2804	5	0	26	186	161	45	67	4	1	2
OTU293	10	11	0	0	11	5	241	487	17	6	1	477	32	2065	7	2	1356	12	3	0	41	4	895	0	816	44
OTU294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0
OTU295	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
OTU296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
OTU297	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
OTU298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
OTU299	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0
