Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
ASV1256	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV1257	0	1	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	14	0	0	0	0	0
ASV1258	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV1259	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0
ASV126	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	2	0	0	0	0
ASV1260	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV1261	0	16	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV1262	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV1263	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	2	0	0	0	0
ASV1264	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0
ASV1265	7	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0
ASV1266	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV1267	4	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	5	0	0	0	0	0
ASV1268	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0
ASV1269	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV127	1	2	1	1	22	0	3	36	3	0	6	249	0	22	0	0	19	84	0	0	10	0	5	0	453	0
ASV1270	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV1271	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	1	0
ASV1272	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ASV1273	0	0	0	0	0	0	0	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
